"Name","Family Income"
"Description","Families by income level."
"Source Notes","U.S. Census Bureau, American Community Survey 1-Year Estimates, Summary Table B19101 (2005-2018); retrieved from https://data.census.gov/.&nbsp;"
"Notes",""

Location,Income Level,TimeFrame,DataFormat,Data,Fips
Pelham Parkway,"$100,000 to $199,999",2016,Number,5796,211
Pelham Parkway,"$50,000 to $74,999",2016,Number,5983,211
Williamsbridge,"$200,000 or more",2016,Percent,0.037,212
Williamsbridge,"$25,000 to $34,999",2016,Percent,0.082,212
Williamsbridge,"$15,000 to $24,999",2016,Percent,0.088,212
Williamsbridge,"Under $15,000",2016,Percent,0.103,212
Williamsbridge,"$75,000 to $99,999",2016,Percent,0.116,212
Williamsbridge,"$35,000 to $49,999",2016,Percent,0.151,212
Williamsbridge,"$50,000 to $74,999",2016,Percent,0.184,212
Williamsbridge,"$100,000 to $199,999",2016,Percent,0.239,212
Williamsbridge,"$200,000 or more",2016,Number,1289,212
Williamsbridge,"$25,000 to $34,999",2016,Number,2848,212
Williamsbridge,"$15,000 to $24,999",2016,Number,3048,212
Williamsbridge,"Under $15,000",2016,Number,3578,212
Williamsbridge,"$75,000 to $99,999",2016,Number,4019,212
Williamsbridge,"$35,000 to $49,999",2016,Number,5219,212
Williamsbridge,"$50,000 to $74,999",2016,Number,6365,212
Williamsbridge,"$100,000 to $199,999",2016,Number,8279,212
Williamsburg/Greenpoint,"$75,000 to $99,999",2016,Percent,0.096,301
Williamsburg/Greenpoint,"$35,000 to $49,999",2016,Percent,0.101,301
Williamsburg/Greenpoint,"$25,000 to $34,999",2016,Percent,0.102,301
Williamsburg/Greenpoint,"$200,000 or more",2016,Percent,0.114,301
Williamsburg/Greenpoint,"Under $15,000",2016,Percent,0.118,301
Williamsburg/Greenpoint,"$15,000 to $24,999",2016,Percent,0.121,301
Williamsburg/Greenpoint,"$50,000 to $74,999",2016,Percent,0.146,301
Williamsburg/Greenpoint,"$100,000 to $199,999",2016,Percent,0.203,301
Williamsburg/Greenpoint,"$75,000 to $99,999",2016,Number,3083,301
Williamsburg/Greenpoint,"$35,000 to $49,999",2016,Number,3251,301
Williamsburg/Greenpoint,"$25,000 to $34,999",2016,Number,3283,301
Williamsburg/Greenpoint,"$200,000 or more",2016,Number,3654,301
Williamsburg/Greenpoint,"Under $15,000",2016,Number,3807,301
Williamsburg/Greenpoint,"$15,000 to $24,999",2016,Number,3890,301
Williamsburg/Greenpoint,"$50,000 to $74,999",2016,Number,4682,301
Williamsburg/Greenpoint,"$100,000 to $199,999",2016,Number,6517,301
Fort Greene/Brooklyn Hts,"$25,000 to $34,999",2016,Percent,0.047,302
Fort Greene/Brooklyn Hts,"Under $15,000",2016,Percent,0.073,302
Fort Greene/Brooklyn Hts,"$15,000 to $24,999",2016,Percent,0.08,302
Fort Greene/Brooklyn Hts,"$35,000 to $49,999",2016,Percent,0.082,302
Fort Greene/Brooklyn Hts,"$50,000 to $74,999",2016,Percent,0.096,302
Fort Greene/Brooklyn Hts,"$75,000 to $99,999",2016,Percent,0.112,302
Fort Greene/Brooklyn Hts,"$100,000 to $199,999",2016,Percent,0.233,302
Fort Greene/Brooklyn Hts,"$200,000 or more",2016,Percent,0.278,302
Fort Greene/Brooklyn Hts,"$25,000 to $34,999",2016,Number,1357,302
Fort Greene/Brooklyn Hts,"Under $15,000",2016,Number,2108,302
Fort Greene/Brooklyn Hts,"$15,000 to $24,999",2016,Number,2304,302
Fort Greene/Brooklyn Hts,"$35,000 to $49,999",2016,Number,2370,302
Fort Greene/Brooklyn Hts,"$50,000 to $74,999",2016,Number,2783,302
Fort Greene/Brooklyn Hts,"$75,000 to $99,999",2016,Number,3227,302
