"Name","Household Income"
"Description","Households by income level."
"Source Notes","U.S. Census Bureau, American Community Survey 1-Year Estimates, Summary Table B19001 (2005-2018); retrieved from&nbsp;<a href=""https://data.census.gov/"" target=""_blank"">https://data.census.gov/</a>."
"Notes",""

Location,Income Level,TimeFrame,DataFormat,Data,Fips
Williamsburg/Greenpoint,"$200,000 or more",2005,Percent,0.0093,301
Fort Greene/Brooklyn Hts,"$200,000 or more",2005,Percent,0.06485,302
Bedford Stuyvesant,"$200,000 or more",2005,Percent,0.00622,303
Bushwick,"$200,000 or more",2005,Percent,0.00532,304
East New York,"$200,000 or more",2005,Percent,0.00098,305
Park Slope,"$200,000 or more",2005,Percent,0.10405,306
Sunset Park,"$200,000 or more",2005,Percent,0.02079,307
Crown Heights North,"$200,000 or more",2005,Percent,0.0199,308
Crown Heights South,"$200,000 or more",2005,Percent,0.01874,309
Bay Ridge,"$200,000 or more",2005,Percent,0.04435,310
Bensonhurst,"$200,000 or more",2005,Percent,0.00779,311
Borough Park,"$200,000 or more",2005,Percent,0.01442,312
Coney Island,"$200,000 or more",2005,Percent,0.01405,313
Flatbush/Midwood,"$200,000 or more",2005,Percent,0.02599,314
Sheepshead Bay,"$200,000 or more",2005,Percent,0.03008,315
Brownsville,"$200,000 or more",2005,Percent,0.00102,316
East Flatbush,"$200,000 or more",2005,Percent,0.01032,317
Canarsie,"$200,000 or more",2005,Percent,0.00868,318
Astoria,"$200,000 or more",2005,Percent,0.00802,401
Sunnyside/Woodside,"$200,000 or more",2005,Percent,0.01046,402
Jackson Heights,"$200,000 or more",2005,Percent,0.01272,403
Elmhurst/Corona,"$200,000 or more",2005,Percent,0.0067,404
Ridgewood/Glendale,"$200,000 or more",2005,Percent,0.01167,405
Rego Park/Forest Hills,"$200,000 or more",2005,Percent,0.02173,406
Flushing,"$200,000 or more",2005,Percent,0.02119,407
Fresh Meadows/Briarwood,"$200,000 or more",2005,Percent,0.01985,408
Woodhaven,"$200,000 or more",2005,Percent,0.01285,409
Howard Beach,"$200,000 or more",2005,Percent,0.01637,410
Bayside,"$200,000 or more",2005,Percent,0.04762,411
Jamaica/St. Albans,"$200,000 or more",2005,Percent,0.00461,412
Queens Village,"$200,000 or more",2005,Percent,0.02035,413
The Rockaways,"$200,000 or more",2005,Percent,0.02058,414
St. George,"$200,000 or more",2005,Percent,0.0216,501
South Beach,"$200,000 or more",2005,Percent,0.04036,502
Tottenville,"$200,000 or more",2005,Percent,0.06294,503
Bronx,"$200,000 or more",2005,Percent,0.00789,36005
Brooklyn,"$200,000 or more",2005,Percent,0.0227,36047
Manhattan,"$200,000 or more",2005,Percent,0.13237,36061
Queens,"$200,000 or more",2005,Percent,0.01602,36081
Staten Island,"$200,000 or more",2005,Percent,0.04075,36085
New York City,"$200,000 or more",2005,Percent,0.04616,3651000
Battery Park/Tribeca,"$25,000 to $34,999",2005,Number,1196.58936,101
Greenwich Village,"$25,000 to $34,999",2005,Number,1766.41064,102
Lower East Side,"$25,000 to $34,999",2005,Number,7511,103
Chelsea/Clinton,"$25,000 to $34,999",2005,Number,3047.67287,104
Midtown Business District,"$25,000 to $34,999",2005,Number,1525.32713,105
Murray Hill/Stuyvesant,"$25,000 to $34,999",2005,Number,4104,106
Upper West Side,"$25,000 to $34,999",2005,Number,6539,107
Upper East Side,"$25,000 to $34,999",2005,Number,5802,108
Manhattanville,"$25,000 to $34,999",2005,Number,3290,109
Central Harlem,"$25,000 to $34,999",2005,Number,6007,110
East Harlem,"$25,000 to $34,999",2005,Number,5796,111
Washington Heights,"$25,000 to $34,999",2005,Number,10041,112
Mott Haven,"$25,000 to $34,999",2005,Number,3426.45103,201
Hunts Point,"$25,000 to $34,999",2005,Number,1956.54897,202
Morrisania,"$25,000 to $34,999",2005,Number,3376.29615,203
Concourse/Highbridge,"$25,000 to $34,999",2005,Number,5192,204
University Heights,"$25,000 to $34,999",2005,Number,5792,205
East Tremont,"$25,000 to $34,999",2005,Number,3524.70385,206
Bedford Park,"$25,000 to $34,999",2005,Number,5845,207
Riverdale,"$25,000 to $34,999",2005,Number,4089,208
Unionport/Soundview,"$25,000 to $34,999",2005,Number,6707,209
Throgs Neck,"$25,000 to $34,999",2005,Number,4387,210
Pelham Parkway,"$25,000 to $34,999",2005,Number,5254,211
